Name;Sku;Regular price;Catégories;Image;short_description;description;;;;;;
Machine à  laver ASTECH 9Kg MLG93V930DG;MLG93V930DG;215000;Accueil;https://ambulantenligne.com/12107/machine-a-laver-9-kg-astech-90-d-900-g.jpg;;;;;;;;
Micro-ondes LG 20L MS2042D 700W;MS2042D;80000;Accueil;https://ambulantenligne.com/894/Micro-ondes-electronics-455-cm-ecran-Led-noir-lg-ms-2042d.jpg;;;;;;;;
Minichaine LG XBOOM Bluetooth; Multipairing 480W CJ44;CJ44;150000;Son;https://ambulantenligne.com/1794/mini-chaine-lg-xboom-bluetooth-multipairing-480w-cj44.jpg;;;;;;;
Réfrigérateur  HISENSE Vitrine 758 Litres FL-99WC;FL-99WC;660000;ReFroidisseur Vitrine;https://ambulantenligne.com/6542/Réfrigerateur-hisense-Vitrine-758-Litres-fl-99wc.jpg;;;;;;;;
Machine à  laver SAMSUNG 11KG top loading gris WA11J5710SG/SG;WA11J5710SG/SG;449900;10 kg et Plus;https://ambulantenligne.com/8005/machine-a-laver-samsung-11kg-ublodome-silver-wa11j5710sgsg.jpg;;;;;;;;
Machine a laver LG 9KG Inverter A+++ F4V5VYPT2;F4V5VYPT2;400000;Accueil;https://ambulantenligne.com/8006/machine-a-laver-lg-9kg-f4v5vypt2.jpg;;;;;;;;
Réfrigérateur combiné BEKO 223 Litres silver RDSA32SX;RDSA32SX;219900;Accueil;https://ambulantenligne.com/8016/Réfrigerateur-combine-beko-223-Litres-silverrdsa32sx.jpg;;;;;;;;
Congélateur BEKO Vertical 8 Tiroirs No Frost A+ 277L RFNE312K21X;RFNE312K21X;370000;Congélateur Vertical;https://ambulantenligne.com/8025/-Congélateur-beko-nofrost-inox-315-Litres-vertical.jpg;;;;;;;;
Réfrigérateur 2 Portes 450 Litres BEKO ;RCNA45020SX;365000;Accueil;https://ambulantenligne.com/8024/Réfrigerateur-2-portes-450-Litres-beko-rcna45020sx.jpg;;;;;;;;
Réfrigérateur BEKO 1 porte ;445M23X;370000;Réfrigerateur;https://ambulantenligne.com/8030/Réfrigerateur-beko-1porte-445-m-23x.jpg;;;;;;;;
Réfrigérateur combiné BEKO 2 Tiroirs 450 Litres nofrost RCNE550E21DE;RCNE550E21DE;340000;Accueil;https://ambulantenligne.com/8038/Réfrigerateur-combine-beko-2-Tiroirs-475-Litres-nofrost-rcne550e21de.jpg;;;;;;;;
Réfrigerateur-BEKO-2PORTES-SILVER-RDSA32SX;RDSA32SX;187500;Réfrigerateur;https://ambulantenligne.com/8034/Réfrigerateur-beko-2portes-silver-rdsa32sx.jpg;;;;;;;;
Réfrigerateur-BEKO-COMBINE-3Tiroirs-SILVER-400Litres-Â RCNA400K21;RCNA400K21;350000;Réfrigerateur;https://ambulantenligne.com/8042/Réfrigerateur-beko-combine-3Tiroirs-silver-400Litres-rcna400k21.jpg;;;;;;;;
Réfrigérateur BEKO combiné RCNA450M20SX;RCNA450M20SX;365000;Réfrigerateur;https://ambulantenligne.com/8044/Réfrigerateur-beko-combine-silver-rcna450m20sx.jpg;;;;;;;;
Congélateur Vertical 8 Tiroirs BEKO nofrost I 315L A+ inox;;365000;Accueil;https://ambulantenligne.com/8047/Congélateur-vertical-8-Tiroirs-beko-nofrost-i-315l-a-inox.jpg;;;;;;;;
Réfrigérateur SENS 1 porte 183 Litres SRM90DT;SRM90DT;145000;Accueil;https://ambulantenligne.com/8053/Réfrigerateur-1-porte-183-Litres-sens-srm-90dt.jpg;;;;;;;;
Ordinateur Portable ThinkPad X13 Core-i5;ThinkPad X13;465000;Ordinateur Portable;https://ambulantenligne.com/8067/ordinateur-portable-thinkpad-x13-core-i5.jpg;;;;;;;;
Cuisiniere BEKO 4 Feux 5050 CSG42000s Gris;CSG42000s;127500;4 Feux 50/50;https://ambulantenligne.com/8075/cuisiniere-beko-4-Feux-5050-csg42000s.jpg;;;;;;;;
Ordinateur Portable HP pavillon tactile 15.6 Pouces Core i5 - 15cs3003ca;15cs3003ca;445000;Ordinateur Portable;https://ambulantenligne.com/8078/ordinateur-portable-hp-pavilion-tactile-156-Pouces-core-i5-15cs3003ca.jpg;;;;;;;;
